label,x,y,plot_type,plot_num
Mainland,0.0,57808.066495863524,path,0
Mainland,999.99,57808.066495863524,path,0
Mainland,1068.3691633774783,57808.066495863524,path,0
Mainland,1141.424083496727,57808.066495863524,path,0
Mainland,1219.474487889182,57808.066495863524,path,0
Mainland,1302.8619670060134,57808.066495863524,path,0
Mainland,1391.9514692012422,57808.066495863524,path,0
Mainland,1487.132897941562,57808.066495863524,path,0
Mainland,1588.8228182331327,57808.066495863524,path,0
Mainland,1697.4662797335764,57808.066495863524,path,0
Mainland,1813.5387645280866,266885.42522199,path,0
Mainland,1937.548268094177,266885.42522199,path,0
Mainland,2070.0375225624834,266885.42522199,path,0
Mainland,2211.586372003787,266885.42522199,path,0
Mainland,2362.814310137819,266885.42522199,path,0
Mainland,2524.3831915701903,266885.42522199,path,0
Mainland,2697.0001284232962,266885.42522199,path,0
Mainland,2881.4205850383983,266885.42522199,path,0
Mainland,3078.451684292959,941482.8156878069,path,0
Mainland,3288.9557400034564,941482.8156878069,path,0
Mainland,3513.8540308733554,941482.8156878069,path,0
Mainland,3754.13083250307,941482.8156878069,path,0
Mainland,4010.837725108151,941482.8156878069,path,0
Mainland,4285.0981957985805,941482.8156878069,path,0
Mainland,4578.112555561225,941482.8156878069,path,0
Mainland,4891.163192464798,941482.8156878069,path,0
Mainland,5225.620184078171,1977506.085841116,path,0
Mainland,5582.947293664995,1977506.085841116,path,0
Mainland,5964.70837639719,1977506.085841116,path,0
Mainland,6372.574223624335,1977506.085841116,path,0
Mainland,6808.329875153164,1977506.085841116,path,0
Mainland,7273.8824315395905,1977506.085841116,path,0
Mainland,7771.269400584093,1977506.085841116,path,0
Mainland,8302.667614559166,1977506.085841116,path,0
Mainland,8870.40275719543,2060368.533088658,path,0
Mainland,9476.959542121576,2060368.533088658,path,0
Mainland,10124.992587304507,2060368.533088658,path,0
Mainland,10817.338033082015,2060368.533088658,path,0
Mainland,11557.025954634753,2060368.533088658,path,0
Mainland,12347.293623221161,2060368.533088658,path,0
Mainland,13191.599674213603,2060368.533088658,path,0
Mainland,14093.639243942633,2060368.533088658,path,0
Mainland,15057.3601415964,2060368.533088658,path,0
Mainland,16086.980126952001,977939.3283089543,path,0
Mainland,17187.005369555514,977939.3283089543,path,0
Mainland,18362.25017013795,977939.3283089543,path,0
Mainland,19617.858030578536,977939.3283089543,path,0
Mainland,20959.32416462898,977939.3283089543,path,0
Mainland,22392.5195479175,273005.8432512427,path,0
Mainland,23923.71661248856,273005.8432512427,path,0
Mainland,25559.61669833126,273005.8432512427,path,0
Mainland,27307.379382038995,273005.8432512427,path,0
Mainland,29174.653810958505,273005.8432512427,path,0
Mainland,31169.612179963096,273005.8432512427,path,0
Mainland,33300.985497362584,273005.8432512427,path,0
Mainland,35578.10179648076,273005.8432512427,path,0
Mainland,38010.9269601345,273005.8432512427,path,0
Mainland,40610.10833668467,273005.8432512427,path,0
Mainland,43387.02133854594,159626.85483217417,path,0
Mainland,46353.819227095366,159626.85483217417,path,0
Mainland,49523.486301865756,159626.85483217417,path,0
Mainland,52909.894726807586,159626.85483217417,path,0
Mainland,56527.86524232225,159626.85483217417,path,0
Mainland,60393.232028774946,159626.85483217417,path,0
Mainland,64522.912005364225,159626.85483217417,path,0
Mainland,68934.9788676383,159626.85483217417,path,0
Mainland,73648.74218768474,159626.85483217417,path,0
Mainland,78684.83192317952,159626.85483217417,path,0
Mainland,84065.28870515183,159626.85483217417,path,0
Mainland,89813.66029961218,159626.85483217417,path,0
Mainland,95955.10466521235,159626.85483217417,path,0
Mainland,102516.50005797179,159626.85483217417,path,0
Mainland,109526.56266494922,159626.85483217417,path,0
Mainland,117015.97228168548,159626.85483217417,path,0
Mainland,125017.50658345227,159626.85483217417,path,0
Mainland,133566.1845779471,96429.39432887697,path,0
Mainland,142699.41986726178,96429.39432887697,path,0
Mainland,152457.1843898818,96429.39432887697,path,0
Mainland,162882.18335933745,96429.39432887697,path,0
Mainland,174020.04216513407,96429.39432887697,path,0
Mainland,185919.50605393818,96429.39432887697,path,0
Mainland,198632.65346493447,96429.39432887697,path,0
Mainland,212215.12395302023,96429.39432887697,path,0
Mainland,226726.3616973529,73255.80377739528,path,0
Mainland,242229.87566097692,73255.80377739528,path,0
Mainland,258793.517540124,73255.80377739528,path,0
Mainland,276489.77871964406,73255.80377739528,path,0
Mainland,295396.10753420537,73255.80377739528,path,0
Mainland,315595.248223765,73255.80377739528,path,0
Mainland,337175.6030667618,67604.16970836873,path,0
Mainland,360231.61927592556,67604.16970836873,path,0
Mainland,384864.2023499581,67604.16970836873,path,0
Mainland,411181.1576901423,67604.16970836873,path,0
Mainland,439297.6624146242,57015.55760580026,path,0
Mainland,469336.76943528804,57015.55760580026,path,0
Mainland,501429.9460033273,57015.55760580026,path,0
Mainland,535717.6490804794,38608.40233610969,path,0
Mainland,572349.9400540614,38608.40233610969,path,0
Mainland,611487.1414861225,38608.40233610969,path,0
Mainland,653300.5387710017,38608.40233610969,path,0
Mainland,697973.1297721285,47510.748104855345,path,0
